score,author,date,content,hatescore,vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,vector_23,vector_24,vector_25,vector_26,vector_27,vector_28,vector_29,vector_30,vector_31,vector_32,vector_33,vector_34,vector_35,vector_36,vector_37,vector_38,vector_39,vector_40,vector_41,vector_42,vector_43,vector_44,vector_45,vector_46,vector_47,vector_48,vector_49,vector_50,vector_51,vector_52,vector_53,vector_54,vector_55,vector_56,vector_57,vector_58,vector_59,vector_60,vector_61,vector_62,vector_63,vector_64,vector_65,vector_66,vector_67,vector_68,vector_69,vector_70,vector_71,vector_72,vector_73,vector_74,vector_75,vector_76,vector_77,vector_78,vector_79,vector_80,vector_81,vector_82,vector_83,vector_84,vector_85,vector_86,vector_87,vector_88,vector_89,vector_90,vector_91,vector_92,vector_93,vector_94,vector_95,vector_96,vector_97,vector_98,vector_99
10,gaelucho_bdx,"Jul 9, 2025",un incroyable film meilleur que le 1 tu ne vois pas le temps passé et de la tension à tout moment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4908926475317558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8712200689832985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Miyod,"Jun 7, 2025","the sequel is better than the original, the main character has become smarter, it was nice to see his rival from the first part, and the young actors did a good job.",0.0,0.0,0.0,0.0,0.0,0.42942309365531384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3192162447607501,0.4121822210490057,0.0,0.0,0.0,0.0,0.4121822210490057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39402936606642225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25179206876995314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26812163007741935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28872276197942826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CRM03,"May 19, 2025",9.5........................................................................,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Akoltuniuk,"Apr 28, 2025",The 10/10 review holds strong. I was excited to see how this was upon rewatch and I was not disappointed in the slightest.,0.0,0.9018600590744177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.432028278989105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Movieliefhebber,"Jan 6, 2025",top gun 2 was a masterpiece really a beautiful film worthy of an oscar this film one of the very best films ever made i think this film is pure class,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25140683502110245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7067963958617081,0.0,0.3855013186604184,0.0,0.0,0.0,0.0,0.24143675335529874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3123357093168118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36438563394769957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Doomsdaylama,"Oct 25, 2024","The best movie ever, I loved the sound design and overall the cinematography",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3036624801647697,0.4480099316708826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46562889398526475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48089113335439926,0.0,0.0,0.0,0.0,0.18121530817290302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4755740345050518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Moviefan98,"Oct 13, 2024",Top Gun: Maverick is one I am completely lost for words to describe the Maverick experience as it was just magnificent as I was blown away from it.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4506439706080123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31343047196558776,0.3878914266815099,0.0,0.0,0.3191452387837995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6681077073845866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,drqshadow,"Oct 2, 2024","Given the influence of rose-tinted nostalgia and the remarkable staying power of the original, Tom Cruise and company could be forgiven for just running everything back and cashing it in for the Top Gun sequel. And, as far as the plot is concerned, that’s pretty much what they’ve done. Sure, we’ll see a few mild distinctions, plus a shift in perspective (Cruise certainly isn’t going to play a student pilot, nor is he apt to give up that top billing), but the bones are essentially the same. Cocky kids in an elite dogfight academy are ordered to set aside their differences and accomplish an impossible mission in hostile airspace. Adrenaline, testosterone and pheromones run wild. We even get a reprisal of the YouTube-famous beach volleyball scene. It’s a fitting tribute and a worthy successor, modernized to suit today’s high-end home theater equipment, but not half as gloriously ‘80s-tastic as the first film.

Where Maverick really soars (if you’ll pardon the awful pun) is in a technical sense. This was evidently an area of special concern for the filmmakers, and they deserve special credit for the accomplishment. All that work to embed an array of super-resolution cameras into the pilot’s seat has paid off: this is a major level-up moment, on par with the very best IMAX showpieces. Paired with a persistent soundtrack of strained grunts and rapid breathing, the footage does a fantastic job of conveying the intense physical effort that’s required to maintain control of a fighter jet, while also portraying the stunning vistas and dizzying speeds of afterburner combat. More than just special effects for a film, Maverick’s vision of airborne cinema borders on a true life experience. As a film, it’s a light-hearted flex of the bicep, designed to pluck memory threads and evoke warm feelings established by the original. Worthwhile, especially for long-term fans, but not particularly special. The cockpit scenes, though, especially that blood-rushing one-cut takeoff from the aircraft carrier, will stick with me for a long while.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1272978562202919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1640231085460486,0.0,0.0,0.0,0.24363193649698908,0.0,0.0,0.0,0.18780951744896998,0.0,0.0,0.20159359272223892,0.0,0.17576797114349701,0.0,0.0,0.20393133761462987,0.35788074723534097,0.0,0.0,0.0,0.0,0.0,0.0,0.12224958447266214,0.0,0.0,0.0,0.24895711372971813,0.0,0.0,0.39446949352962246,0.0,0.0,0.0,0.0,0.0,0.2605869464399621,0.19136034652153044,0.0,0.0,0.0,0.0,0.0,0.1719327835760367,0.0,0.24895711372971813,0.0,0.17711775802911542,0.0,0.0,0.15814870830276778,0.0,0.0,0.0,0.0,0.15209743718401086,0.0,0.0,0.1340428697783835,0.0,0.0,0.0,0.0,0.0,0.0,0.19136034652153044,0.0,0.0,0.12011971090743138,0.12633953896037123,0.1672545079971461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Samuelfung,"Aug 23, 2024","《Top Gun: Maverick》（2022）, excellent movie,very entertaining with good storyline, good action & good fight, good production, good sound effect, good cinematography & special effect,% or A+",0.0,0.0,0.0,0.0,0.14069807124196895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23650155779794113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23413169509526727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8498066371109003,0.0,0.0,0.148119255406501,0.18330760547410543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15786534016388556,0.0,0.09204261856026875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24155287925979935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,PersianParadise,"Jul 29, 2024",[SPOILER ALERT: This review contains spoilers.],0.0,0.0,0.0,0.0,0.0,0.0,0.33795389754745475,0.33795389754745475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33795389754745475,0.33795389754745475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3115359689971406,0.33795389754745475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32516603781236797,0.33795389754745475,0.3345674321707436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
